codigo_omm,station_name,state,state_initials,region,latitude,longitude,altitude,altitude_type,start_operation_date,station_situation,data_situation
83339,CAETITE,Bahia,BA,Nordeste,-14.06,-42.48,882.47,meters,1907-01-01,operante,operante
82263,CAMETA,Para,PA,Norte,-2.25,-49.5,23.90,meters,1970-05-01,operante,operante
82795,CAMPINA GRANDE,Paraiba,PB,Nordeste,-7.22,-35.88,547.56,meters,1911-01-01,operante,operante
83783,CAMPO MOURAO,Parana,PR,Sul,-24.05,-52.36,616.40,meters,1958-04-02,operante,operante
83698,CAMPOS,Rio_de_Janeiro,RJ,Sudeste,-21.74,-41.33,11.20,meters,1911-06-17,operante,operante
83714,CAMPOS DO JORDAO,Sao_Paulo,SP,Sudeste,-22.75,-45.6,1642.00,meters,1939-01-01,operante,operante
83887,CAMPOS NOVOS,Santa_Catarina,SC,Sul,-27.38,-51.2,946.67,meters,1923-07-01,operante,operante
82777,CAMPOS SALES,Ceara,CE,Nordeste,-7,-40.38,583.50,meters,1960-06-01,operante,operante
83270,CANARANA,Mato_Grosso,MT,Centro-Oeste,-13.47,-52.27,430.00,meters,1987-08-04,operante,operante
83398,CANAVIEIRAS,Bahia,BA,Nordeste,-15.66,-38.95,3.87,meters,1930-01-01,operante,operante
83639,CAPARAO,Minas_Gerais,MG,Sudeste,-20.51,-41.9,843.18,meters,1972-11-17,operante,operante
83514,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.60,meters,1969-08-13,operante,operante
82042,CARACARAI,Roraima,RR,Norte,1.83,-61.12,60.00,meters,1970-01-11,operante,operante
82976,CARACOL,Piaui,PI,Nordeste,-9.28,-43.33,522.77,meters,1975-10-03,operante,operante
83592,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65,meters,1924-03-15,operante,operante
83498,CARAVELAS,Bahia,BA,Nordeste,-17.73,-39.25,2.88,meters,1930-05-01,operante,operante
83485,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43,736.38,meters,1981-01-01,operante,operante
83408,CARINHANHA,Bahia,BA,Nordeste,-14.28,-43.76,450.18,meters,1927-12-01,operante,operante
82765,CAROLINA,Maranhao,MA,Nordeste,-7.33,-47.46,192.83,meters,1913-01-01,operante,operante
83813,CASTRO,Parana,PR,Sul,-24.78,-50,1008.80,meters,1922-11-01,operante,operante
83526,CATALAO,Goias,GO,Centro-Oeste,-18.18,-47.95,840.47,meters,1913-01-01,operante,operante
83676,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.00,meters,1936-08-01,operante,operante
82476,CAXIAS,Maranhao,MA,Nordeste,-4.86,-43.35,103.56,meters,1976-03-15,operante,operante
83942,CAXIAS DO SUL,Rio_Grande_do_Sul,RS,Sul,-29.16,-51.2,759.60,meters,1912-04-12,operante,operante
82596,CEARA MIRIM,Rio_Grande_do_Norte,RN,Nordeste,-5.65,-35.65,61.35,meters,1967-06-01,operante,operante
82382,CHAPADINHA,Maranhao,MA,Nordeste,-3.73,-43.35,103.50,meters,1976-08-28,operante,operante
83883,CHAPECO,Santa_Catarina,SC,Sul,-27.11,-52.61,679.01,meters,1973-05-10,operante,operante
83192,CIPO,Bahia,BA,Nordeste,-11.08,-38.51,145.31,meters,1935-01-01,operante,operante
82425,COARI,Amazonas,AM,Norte,-4.08,-63.13,46.00,meters,1926-01-01,operante,operante
82326,CODAJAS,Amazonas,AM,Norte,-3.83,-62.08,48.00,meters,1974-08-19,operante,operante
82676,COLINAS,Maranhao,MA,Nordeste,-6.03,-44.25,179.75,meters,1976-05-19,operante,operante
82861,CONCEICAO DO ARAGUAIA,Para,PA,Norte,-8.26,-49.26,156.85,meters,1920-03-19,operante,operante
83718,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92,meters,1971-07-16,operante,operante
83286,CORRENTINA,Bahia,BA,Nordeste,-13.33,-44.61,549.47,meters,1975-08-11,operante,operante
82583,CRATEUS,Ceara,CE,Nordeste,-5.16,-40.66,296.82,meters,1962-12-01,operante,operante
83912,CRUZ ALTA,Rio_Grande_do_Sul,RS,Sul,-28.63,-53.6,472.50,meters,1912-02-02,operante,operante
83222,CRUZ DAS ALMAS,Bahia,BA,Nordeste,-12.66,-39.08,225.87,meters,1958-01-01,operante,operante
82704,CRUZEIRO DO SUL,Acre,AC,Norte,-7.6,-72.66,170.00,meters,1928-01-01,operante,operante
82693,CRUZETA,Rio_Grande_do_Norte,RN,Nordeste,-6.43,-36.58,226.46,meters,1930-01-01,operante,operante
83361,CUIABA,Mato_Grosso,MT,Centro-Oeste,-15.61,-56.1,145.00,meters,1911-01-01,operante,operante
83842,CURITIBA,Parana,PR,Sul,-25.43,-49.26,923.50,meters,1911-01-01,operante,operante
83536,CURVELO,Minas_Gerais,MG,Sudeste,-18.75,-44.45,672.00,meters,1912-09-03,operante,operante
83538,DIAMANTINA,Minas_Gerais,MG,Sudeste,-18.23,-43.64,1296.12,meters,1918-04-13,operante,operante
83309,DIAMANTINO,Mato_Grosso,MT,Centro-Oeste,-14.4,-56.45,286.30,meters,1932-01-01,operante,operante
83635,DIVINOPOLIS,Minas_Gerais,MG,Sudeste,-20.17,-44.87,788.35,meters,1995-10-11,operante,operante
82610,EIRUNEPE,Amazonas,AM,Norte,-6.66,-69.86,104.00,meters,1928-01-01,operante,operante
83964,ENCRUZILHADA DO SUL,Rio_Grande_do_Sul,RS,Sul,-30.53,-52.51,427.75,meters,1913-05-01,operante,operante
82298,ESPERANTINA,Piaui,PI,Nordeste,-3.9,-42.25,87.05,meters,1974-03-17,operante,operante
83338,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64,meters,1974-03-01,operante,operante
83221,FEIRA DE SANTANA,Bahia,BA,Nordeste,-12.18,-38.96,230.68,meters,1939-01-01,operante,operante
82691,FLORANIA,Rio_Grande_do_Norte,RN,Nordeste,-6.11,-36.81,324.45,meters,1962-12-19,operante,operante
83581,FLORESTAL,Minas_Gerais,MG,Sudeste,-19.88,-44.41,760.00,meters,1960-04-09,operante,operante
82678,FLORIANO,Piaui,PI,Nordeste,-6.76,-43.01,123.27,meters,1968-01-21,operante,operante
83897,FLORIANOPOLIS,Santa_Catarina,SC,Sul,-27.58,-48.56,1.84,meters,1921-12-01,operante,operante
82212,FONTE BOA,Amazonas,AM,Norte,-2.53,-66.16,55.57,meters,1925-01-01,operante,operante
83379,FORMOSA,Goias,GO,Centro-Oeste,-15.54,-47.33,935.19,meters,1925-01-01,operante,operante
83334,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.00,meters,1976-04-03,operante,operante
82397,FORTALEZA,Ceara,CE,Nordeste,-3.81,-38.53,26.45,meters,1919-10-27,operante,operante
83630,FRANCA,Sao_Paulo,SP,Sudeste,-20.58,-47.36,1026.20,meters,1911-01-01,operante,operante
82893,GARANHUNS,Pernambuco,PE,Nordeste,-8.88,-36.51,822.76,meters,1913-02-01,operante,operante
83423,GOIANIA,Goias,GO,Centro-Oeste,-16.66,-49.25,741.48,meters,1937-07-11,operante,operante
83374,GOIAS,Goias,GO,Centro-Oeste,-15.91,-50.13,512.22,meters,1946-04-20,operante,operante
82487,GUARAMIRANGA,Ceara,CE,Nordeste,-4.28,-39,870.67,meters,1911-02-01,operante,operante
83446,GUARATINGA,Bahia,BA,Nordeste,-16.73,-39.54,194.67,meters,1973-09-10,operante,operante
82067,IAUARETE,Amazonas,AM,Norte,0.61,-69.18,120.00,meters,1943-07-16,operante,operante
83632,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54,meters,1959-04-06,operante,operante
82686,IGUATU,Ceara,CE,Nordeste,-6.36,-39.29,217.67,meters,1911-01-01,operante,operante
82564,IMPERATRIZ,Maranhao,MA,Nordeste,-5.53,-47.48,123.30,meters,1913-01-01,operante,operante
83872,INDAIAL,Santa_Catarina,SC,Sul,-26.9,-49.21,86.13,meters,1970-10-14,operante,operante
83522,IPAMERI,Goias,GO,Centro-Oeste,-17.71,-48.16,772.99,meters,1977-02-10,operante,operante
83881,IRAI,Rio_Grande_do_Sul,RS,Sul,-27.18,-53.23,247.10,meters,1935-06-01,operante,operante
83836,IRATI,Parana,PR,Sul,-25.46,-50.63,836.95,meters,1966-09-24,operante,operante
83182,IRECE,Bahia,BA,Nordeste,-11.3,-41.86,747.16,meters,1970-12-01,operante,operante
83195,ITABAIANINHA,Sergipe,SE,Nordeste,-11.11,-37.81,208.00,meters,1923-08-06,operante,operante
83244,ITABERABA,Bahia,BA,Nordeste,-12.51,-40.28,249.89,meters,1931-08-21,operante,operante
82336,ITACOATIARA,Amazonas,AM,Norte,-3.13,-58.43,40.00,meters,1927-01-01,operante,operante
82445,ITAITUBA,Para,PA,Norte,-4.28,-55.98,45.00,meters,1928-01-01,operante,operante
83488,ITAMARANDIBA,Minas_Gerais,MG,Sudeste,-17.85,-42.85,914.00,meters,1925-03-27,operante,operante
83695,ITAPERUNA,Rio_de_Janeiro,RJ,Sudeste,-21.2,-41.9,123.59,meters,1922-01-01,operante,operante
83295,ITIRUCU  JAGUAQUARA,Bahia,BA,Nordeste,-13.35,-40.11,755.61,meters,1941-08-01,operante,operante
83292,ITUACU,Bahia,BA,Nordeste,-13.81,-41.3,531.43,meters,1973-02-18,operante,operante
83811,IVAI,Parana,PR,Sul,-25,-50.86,808.00,meters,1912-01-01,operante,operante
83186,JACOBINA,Bahia,BA,Nordeste,-11.18,-40.46,484.74,meters,1912-12-01,operante,operante
82493,JAGUARUANA,Ceara,CE,Nordeste,-4.78,-37.76,11.71,meters,1914-01-01,operante,operante
83395,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.00,meters,1975-03-15,operante,operante
83386,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44,473.71,meters,1912-06-19,operante,operante
83464,JATAI,Goias,GO,Centro-Oeste,-17.91,-51.71,662.86,meters,1978-11-24,operante,operante
82798,JOAO PESSOA,Paraiba,PB,Nordeste,-7.1,-34.86,7.43,meters,1912-01-01,operante,operante
83481,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36,meters,1925-12-09,operante,operante
83692,JUIZ DE FORA,Minas_Gerais,MG,Sudeste,-21.76,-43.36,939.96,meters,1910-01-01,operante,operante
83452,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.00,meters,1986-11-14,operante,operante
82723,LABREA,Amazonas,AM,Norte,-7.25,-64.83,61.00,meters,1972-11-30,operante,operante
83891,LAGES,Santa_Catarina,SC,Sul,-27.81,-50.33,936.83,meters,1914-01-01,operante,operante
83916,LAGOA VERMELHA,Rio_Grande_do_Sul,RS,Sul,-28.21,-51.5,840.00,meters,1914-06-01,operante,operante
